"NAME","Edad","total","hombres","mujeres","porc_hombres","porc_mujeres"
"Ciudad Real","De 0 a 4 años",19051,9869,9182,2.00348768044889,1.86402106412825
"Ciudad Real","De 10 a 14 años  ",25849,13176,12673,2.67483571563427,2.57272260353924
"Ciudad Real","De 15 a 19 años  ",24910,12948,11962,2.62854985170253,2.42838379101526
"Ciudad Real","De 20 a 24 años",26396,13638,12758,2.76862549254858,2.58997829842608
"Ciudad Real","De 25 a 29 años",28057,14674,13383,2.97894196199281,2.71685840788809
"Ciudad Real","De 30 a 34 años",29289,15060,14229,3.05730311759655,2.88860332405586
"Ciudad Real","De 35 a 39 años",32169,16713,15456,3.39287563110166,3.13769435495167
"Ciudad Real","De 40 a 44 años",36969,19003,17966,3.85776435217046,3.6472448745511
"Ciudad Real","De 45 a 49 años",37290,18828,18462,3.8222379215211,3.74793692942015
"Ciudad Real","De 5 a 9 años",22918,11653,11265,2.36565426489725,2.28688709294323
"Ciudad Real","De 50 a 54 años",38402,19279,19123,3.91379460850888,3.88212533318717
"Ciudad Real","De 55 a 59 años",38096,19198,18898,3.89735094632261,3.83644849378084
"Ciudad Real","De 60 a 64 años",33177,16409,16768,3.33116114585934,3.40404108073432
"Ciudad Real","De 65 a 69 años",25001,12198,12803,2.47629372034812,2.59911366630734
"Ciudad Real","De 70 a 74 años  ",22491,10392,12099,2.1096609560467,2.45619591100934
"Ciudad Real","De 75 a 79 años  ",18158,7929,10229,1.60965182067882,2.07657062349901
"Ciudad Real","De 80 a 84 años  ",15393,6019,9374,1.22190620616292,1.90299863375498
"Ciudad Real","De 85 a 89 años  ",11980,4438,7542,0.900950281267827,1.53108765689994
"Ciudad Real","De 90 a 94 años  ",5534,1939,3595,0.393632851594934,0.72981438962547
"Ciudad Real","De 95 a 99 años  ",1282,365,917,0.0740979839258127,0.186158496602658
"Córdoba","100 y más años",285,68,217,0.00875398596015134,0.0279355140198947
"Córdoba","De 0 a 4 años",30901,15879,15022,2.04418445678299,1.93385848666755
"Córdoba","De 10 a 14 años  ",41857,21623,20234,2.78363880024048,2.60482576349562
"Córdoba","De 15 a 19 años  ",41583,21311,20272,2.7434734528939,2.60971769682629
"Córdoba","De 20 a 24 años",41632,21545,20087,2.77359746340383,2.58590170561118
